Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"CRISBELT_PLC01_SYSTEM_KAL_DEVICE2_SIGNAL_1","DB200.DBW0",Word,1,R/W,100,,,,,,,,,,"Conveyor System System",
"CRISBELT_PLC01_SYSTEM_KAL_MAIN_SIGNAL_1","DB200.DBW0",Word,1,R/W,100,,,,,,,,,,"Conveyor System System",
"CRISBELT_PLC01_TL35_BC001_CM","DB200.DBB102",Byte,1,R/W,100,,,,,,,,,,"Conveyor Loading conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC001_SIGNAL_1","DB200.DBD104",DWord,1,R/W,100,,,,,,,,,,"Conveyor Loading conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC002_CM","DB200.DBB116",Byte,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC002_SIGNAL_1","DB200.DBD118",DWord,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC003_CM","DB200.DBB130",Byte,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC003_SIGNAL_1","DB200.DBD132",DWord,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC005_CM","DB200.DBB158",Byte,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC005_SIGNAL_1","DB200.DBD160",DWord,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC006_CM","DB200.DBB172",Byte,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC006_SIGNAL_1","DB200.DBD174",DWord,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC008_CM","DB200.DBB200",Byte,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC008_SIGNAL_1","DB200.DBD202",DWord,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC009_CM","DB200.DBB214",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC009_SIGNAL_1","DB200.DBD216",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC011_CM","DB200.DBB242",Byte,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC011_SIGNAL_1","DB200.DBD244",DWord,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC014_CM","DB200.DBB284",Byte,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC014_SIGNAL_1","DB200.DBD286",DWord,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC015_CM","DB200.DBB298",Byte,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC015_SIGNAL_1","DB200.DBD300",DWord,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC016_CM","DB200.DBB312",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC016_SIGNAL_1","DB200.DBD314",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC018_CM","DB200.DBB340",Byte,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC018_SIGNAL_1","DB200.DBD342",DWord,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC019_CM","DB200.DBB354",Byte,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC019_SIGNAL_1","DB200.DBD356",DWord,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC020_CM","DB200.DBB368",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC020_SIGNAL_1","DB200.DBD370",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC022_CM","DB200.DBB396",Byte,1,R/W,100,,,,,,,,,,"Conveyor Decline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC022_SIGNAL_1","DB200.DBD398",DWord,1,R/W,100,,,,,,,,,,"Conveyor Decline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC024_CM","DB200.DBB424",Byte,1,R/W,100,,,,,,,,,,"Conveyor Decline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC024_SIGNAL_1","DB200.DBD426",DWord,1,R/W,100,,,,,,,,,,"Conveyor Decline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC026_CM","DB200.DBB452",Byte,1,R/W,100,,,,,,,,,,"Conveyor Decline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC026_SIGNAL_1","DB200.DBD454",DWord,1,R/W,100,,,,,,,,,,"Conveyor Decline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC027_CM","DB200.DBB466",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC027_SIGNAL_1","DB200.DBD468",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC029_CM","DB200.DBB494",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC029_SIGNAL_1","DB200.DBD496",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC030_CM","DB200.DBB508",Byte,1,R/W,100,,,,,,,,,,"Conveyor Decline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC030_SIGNAL_1","DB200.DBD510",DWord,1,R/W,100,,,,,,,,,,"Conveyor Decline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC031_CM","DB200.DBB522",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC031_SIGNAL_1","DB200.DBD524",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC033_CM","DB200.DBB550",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC033_SIGNAL_1","DB200.DBD552",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC035_CM","DB200.DBB578",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC035_SIGNAL_1","DB200.DBD580",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC036_CM","DB200.DBB592",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC036_SIGNAL_1","DB200.DBD594",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC037_CM","DB200.DBB606",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC037_SIGNAL_1","DB200.DBD608",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC038_CM","DB200.DBB620",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC038_SIGNAL_1","DB200.DBD622",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC040_CM","DB200.DBB648",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC040_SIGNAL_1","DB200.DBD650",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC042_CM","DB200.DBB676",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC042_SIGNAL_1","DB200.DBD678",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC043_CM","DB200.DBB690",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC043_SIGNAL_1","DB200.DBD692",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC044_CM","DB200.DBB704",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC044_SIGNAL_1","DB200.DBD706",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC045_CM","DB200.DBB718",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC045_SIGNAL_1","DB200.DBD720",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC046_CM","DB200.DBB732",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC046_SIGNAL_1","DB200.DBD734",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC047_CM","DB200.DBB746",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC047_SIGNAL_1","DB200.DBD748",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC049_CM","DB200.DBB774",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC049_SIGNAL_1","DB200.DBD776",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC051_CM","DB200.DBB802",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC051_SIGNAL_1","DB200.DBD804",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC052_CM","DB200.DBB816",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC052_SIGNAL_1","DB200.DBD818",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC053_CM","DB200.DBB830",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC053_SIGNAL_1","DB200.DBD832",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC054_CM","DB200.DBB844",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC054_SIGNAL_1","DB200.DBD846",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC056_CM","DB200.DBB872",Byte,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC056_SIGNAL_1","DB200.DBD874",DWord,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC058_CM","DB200.DBB900",Byte,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC058_SIGNAL_1","DB200.DBD902",DWord,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC059_CM","DB200.DBB914",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC059_SIGNAL_1","DB200.DBD916",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC060_CM","DB200.DBB928",Byte,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC060_SIGNAL_1","DB200.DBD930",DWord,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC061_CM","DB200.DBB942",Byte,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC061_SIGNAL_1","DB200.DBD944",DWord,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC101_CM","DB200.DBB1236",Byte,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC101_SIGNAL_1","DB200.DBD1238",DWord,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC102_CM","DB200.DBB1250",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC102_SIGNAL_1","DB200.DBD1252",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC103_CM","DB200.DBB1264",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC103_SIGNAL_1","DB200.DBD1266",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC104_CM","DB200.DBB1278",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC104_SIGNAL_1","DB200.DBD1280",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC105_CM","DB200.DBB1292",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC105_SIGNAL_1","DB200.DBD1294",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC106_CM","DB200.DBB1306",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC106_SIGNAL_1","DB200.DBD1308",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC107_CM","DB200.DBB1320",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC107_SIGNAL_1","DB200.DBD1322",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC108_CM","DB200.DBB1334",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC108_SIGNAL_1","DB200.DBD1336",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC109_CM","DB200.DBB1348",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC109_SIGNAL_1","DB200.DBD1350",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC111_CM","DB200.DBB1376",Byte,1,R/W,100,,,,,,,,,,"Conveyor Decline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC111_SIGNAL_1","DB200.DBD1378",DWord,1,R/W,100,,,,,,,,,,"Conveyor Decline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC113_CM","DB200.DBB1404",Byte,1,R/W,100,,,,,,,,,,"Conveyor Decline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC113_SIGNAL_1","DB200.DBD1406",DWord,1,R/W,100,,,,,,,,,,"Conveyor Decline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC114_CM","DB200.DBB1418",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC114_SIGNAL_1","DB200.DBD1420",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC115_CM","DB200.DBB1432",Byte,1,R/W,100,,,,,,,,,,"Conveyor Decline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC115_SIGNAL_1","DB200.DBD1434",DWord,1,R/W,100,,,,,,,,,,"Conveyor Decline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC116_CM","DB200.DBB1446",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC116_SIGNAL_1","DB200.DBD1448",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC117_CM","DB200.DBB1460",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC117_SIGNAL_1","DB200.DBD1462",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC118_CM","DB200.DBB1474",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC118_SIGNAL_1","DB200.DBD1476",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC119_CM","DB200.DBB1488",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC119_SIGNAL_1","DB200.DBD1490",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC120_CM","DB200.DBB1502",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC120_SIGNAL_1","DB200.DBD1504",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC121_CM","DB200.DBB1516",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC121_SIGNAL_1","DB200.DBD1518",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC123_CM","DB200.DBB1544",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC123_SIGNAL_1","DB200.DBD1546",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC125_CM","DB200.DBB1572",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC125_SIGNAL_1","DB200.DBD1574",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC127_CM","DB200.DBB1600",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC127_SIGNAL_1","DB200.DBD1602",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC128_CM","DB200.DBB1614",Byte,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC128_SIGNAL_1","DB200.DBD1616",DWord,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC131_CM","DB200.DBB1656",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC131_SIGNAL_1","DB200.DBD1658",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC132_CM","DB200.DBB1670",Byte,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC132_SIGNAL_1","DB200.DBD1672",DWord,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC133_CM","DB200.DBB1684",Byte,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC133_SIGNAL_1","DB200.DBD1686",DWord,1,R/W,100,,,,,,,,,,"Conveyor Queue conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC134_CM","DB200.DBB1698",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC134_SIGNAL_1","DB200.DBD1700",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC136_CM","DB200.DBB1726",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC136_SIGNAL_1","DB200.DBD1728",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC137_CM","DB200.DBB1740",Byte,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC137_SIGNAL_1","DB200.DBD1742",DWord,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC140_CM","DB200.DBB1782",Byte,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC140_SIGNAL_1","DB200.DBD1784",DWord,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC141_CM","DB200.DBB1796",Byte,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC141_SIGNAL_1","DB200.DBD1798",DWord,1,R/W,100,,,,,,,,,,"Conveyor incline conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC142_CM","DB200.DBB1810",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC142_SIGNAL_1","DB200.DBD1812",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC144_CM","DB200.DBB1838",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC144_SIGNAL_1","DB200.DBD1840",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC146_CM","DB200.DBB1866",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC146_SIGNAL_1","DB200.DBD1868",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC148_CM","DB200.DBB1894",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC148_SIGNAL_1","DB200.DBD1896",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC149_CM","DB200.DBB1908",Byte,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
"CRISBELT_PLC01_TL35_BC149_SIGNAL_1","DB200.DBD1910",DWord,1,R/W,100,,,,,,,,,,"Conveyor standrad conveyor Conv_47",
